#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 0이 아니면-강수) 
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202604201644    90  265.0    3.2  330.0    5.7  279.7    4.9   20.6    0.0    0.0    0.0    0.1    0.1   46.6 1000.8 1002.8    8.8
202604201644    92  290.0    8.9  310.0   15.9  270.0    8.2   19.7  -99.7    0.0    0.0    0.0    0.0   52.0  995.5 1003.1    9.6
202604201644    93  188.2    4.2  208.3    5.8  183.5    4.2   14.4    0.0    0.0    0.0    2.3    2.3   80.5  997.1 1008.4   11.1
202604201644    95  255.7    1.0  261.7    1.7  265.9    1.5   14.2    0.0    0.0    0.0    0.4    0.4   61.4  990.9 1009.3    6.9
202604201644    96  217.1    5.7  224.6   11.4  220.3    6.7   16.1  -99.2    0.0    0.0    0.0    0.0   91.9  994.5 1006.1   14.8
202604201644    98  244.8    5.1  247.6    7.2  264.0    4.1   14.8    0.0    0.0    0.0    0.5    0.5   37.1  996.0 1009.7    0.3
202604201644    99  332.5    3.4  334.8    5.4  342.1    3.0   14.3    0.0    0.0    0.0    0.0    0.0   44.2 1007.1 1010.7    2.3
202604201644   100  270.7   11.5  258.8   18.4  274.1   10.8   11.8    0.0    0.0    0.0    0.2    0.2   83.5  916.6 1004.4    9.1
202604201644   101  175.2    2.6  197.9    4.1  182.9    3.0   15.0    0.0    0.0    0.0    2.0    2.0   76.0  998.6 1007.6   10.8
202604201644   102  297.9    6.1  312.3   10.6  296.9    6.8    9.8    0.0    0.0    0.0    0.0    0.0   55.5 1008.0 1012.4    1.3
202604201644   104  240.6    7.3  244.1   13.3  240.5    4.7   19.6    0.0    0.0    0.0    0.0    0.0   56.4  994.1 1002.8   10.7
202604201644   105  233.6    5.4  216.7    8.3  250.5    3.7   20.6    0.0    0.0    0.0    0.0    0.0   51.9 1001.3 1004.4   10.4
202604201644   106  209.0    2.4  298.0    3.3  238.9    4.4   21.6    0.0    0.0    0.0    0.0    0.0   47.0 1000.0 1004.7    9.8
202604201644   108  199.2    4.6  220.7    7.1  206.0    4.2   14.1    0.0    0.0    0.0    0.8    0.8   61.0  999.9 1010.1    6.7
202604201644   110  270.0    5.8  290.0    7.5  260.0    6.5   14.1  -99.7    0.0    0.0    0.3    0.3   55.0 1008.6 1010.7    5.2
202604201644   112  274.8    4.9  274.9    5.0  272.1    4.0   12.9    0.0    0.0    0.0    0.0    0.0   48.7 1002.5 1010.7    2.4
202604201644   113  270.0    9.4  280.0   12.1  270.0    8.2   12.0  -99.7    0.0    0.0    0.0    0.0   54.0 1010.8 1011.6    3.0
202604201644   114  217.9    2.8  228.7    3.8  240.5    3.8   13.4    0.0    0.0    0.0    1.3    1.3   81.6  991.7 1009.5   10.3
202604201644   115  230.8   10.0  224.5   13.0  229.1    8.5   16.4    0.0    0.0    0.0    0.0    0.0   87.8  979.6 1005.3   14.4
202604201644   116  249.0    0.4   68.0    2.0  270.0    0.7    8.7    0.0    0.0    0.0    0.0    0.0   68.9  937.0 1010.0    3.3
202604201644   119  251.6    5.0  293.7    8.6  265.0    4.6   11.9    0.0    0.0    0.0    0.3    0.3   60.6 1006.1 1010.9    4.5
202604201644   121  159.3    1.6  211.9    4.0  249.5    2.5   15.2    1.0    0.0    0.1    0.1    0.1   79.4  980.2 1008.3   11.7
202604201644   127  245.9    2.1  242.0    2.8  249.9    2.9   13.3    0.0    0.0    0.1    1.6    1.6   80.0  995.7 1009.3    9.9
202604201644   129  271.6    8.3  274.3    8.8  290.1    6.0   10.7    0.0    0.0    0.0    0.3    0.3   50.0 1009.7 1012.8    0.7
202604201644   130  280.7    3.3  243.9    5.5  246.8    2.9   22.7    0.0    0.0    0.0    0.0    0.0   46.5  999.5 1005.1   10.7
202604201644   131  263.8    1.2  267.3    2.0  277.3    1.7   14.1    0.0    0.0    0.0    0.3    0.3   75.6 1003.5 1010.5    9.9
202604201644   133  309.6    2.6  328.4    4.4  310.5    3.3   13.4    0.0    0.0    0.0    0.2    0.2   76.7 1003.5 1011.6    9.4
202604201644   135  258.4    3.3  264.6    5.3  256.6    2.2   13.8    0.0    0.0    0.4    0.4    0.4   85.8  981.0 1009.8   11.5
202604201644   136  256.2    5.4  233.6    7.8  273.6    4.5   18.3    0.0    0.0    0.0    0.0    0.0   61.4  992.2 1008.6   10.8
202604201644   137  264.9    3.9  256.1    5.5  270.4    3.6   16.6    0.0    0.0    0.0    0.0    0.0   76.4  997.1 1008.4   12.4
202604201644   138  222.4    2.8  233.5    2.8  236.1    2.2   20.6    0.0    0.0    0.0    0.0    0.0   55.7 1006.4 1006.9   11.4
202604201644   140  282.9    5.3  279.2    7.7  279.6    4.8   10.1    0.0    0.0    0.0    0.4    0.4   74.3 1010.9 1014.3    5.7
202604201644   143  308.6    2.9  291.6    6.2  295.9    3.7   21.0    0.0    0.0    0.0    0.0    0.0   53.7 1001.1 1007.4   11.3
202604201644   146  203.4    4.2  215.6    6.3  230.6    4.3    9.9    0.0    0.0    0.0    1.2    1.2   87.2 1006.1 1013.4    7.9
202604201644   151  320.0    3.9  340.0    5.2  310.0    4.2   21.0  -99.7    0.0    0.0    0.0    0.0   68.0 1006.8 1007.8   14.9
202604201644   152  286.1    2.9  303.0    3.0  284.2    2.7   20.1    0.0    0.0    0.0    0.0    0.0   71.4  997.5 1006.9   14.8
202604201644   155  208.0    1.3  238.0    1.8  197.0    1.9   20.7    0.0    0.0    0.0    0.0    0.0   70.2 1004.5 1008.6   15.1
202604201644   156  273.2    2.8  258.9    4.0  249.3    2.3   13.0    0.0    0.0    0.0    0.0    0.0   82.4 1003.5 1011.9   10.1
202604201644   159  259.3    5.6  270.2    6.9  271.5    5.7   19.2  -99.2    0.0    0.0    0.0    0.0   71.3 1000.2 1008.3   13.9
202604201644   160  288.5    0.7  301.4    1.5  271.8    1.3   15.2    0.0    0.0    0.0    0.0    0.0   90.9  949.8 1008.5   13.7
202604201644   162  255.1    3.6  248.8    5.1  256.3    4.1   19.5    0.0    0.0    0.0    0.0    0.0   69.1 1004.9 1008.5   13.7
202604201644   163  340.0    6.0  360.0    8.6  340.0    6.4   11.4  -99.7    0.0    0.0    0.0    0.0   83.0 1013.1 1014.2    8.6
202604201644   165  267.0    7.4  349.5   10.0  321.7    8.6   10.9    0.0    0.0    0.0    0.0    0.0   77.5 1008.4 1013.8    7.1
202604201644   167  320.0    4.3  340.0    5.4  310.0    4.6   19.8  -99.7    0.0    0.0    0.0    0.0   68.0 1009.5 1010.6   13.7
202604201644   168  303.6    8.2  315.1   10.3  298.0    6.8   19.7    0.0    0.0    0.0    0.0    0.0   65.2 1002.3 1010.0   13.0
202604201644   169  335.0   10.1  347.0   12.0  336.7   10.7   11.1    0.0    0.0    0.0    0.0    0.0   82.5 1005.3 1014.4    8.2
202604201644   170  296.0    5.9  331.0    8.4  293.1    5.5   15.5    0.0    0.0    0.0    0.0    0.0   74.3 1007.9 1012.1   11.0
202604201644   172  310.2    4.9  310.4    5.9  307.1    4.7   10.1    0.0    0.0    0.0    0.3    0.3   92.6 1007.5 1013.9    9.0
202604201644   174  312.1    3.2  311.5    5.2  315.2    3.9   15.5    0.0    0.0    0.0    0.3    0.3   79.3  990.3 1009.7   11.9
202604201644   175  332.3    9.3  320.8   11.4  328.5    9.3    8.1    0.0    0.0    0.0    0.0    0.0   99.9  957.1 1013.9    8.1
