#START7777
#2345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234
# YYMMDDHHMI STN  WD   WS GST  GST  GST     PA     PS PT    PR    TA    TD    HM    PV     RN     RN     RN     RN     SD     SD     SD WC WP WW                      CA  CA   CH CT        CT  CT  CT    VS   SS    SI ST    TS    TE    TE    TE    TE  ST   WH BF IR IX
#        KST  ID  16  m/s  WD   WS   TM    hPa    hPa  -   hPa     C     C     %   hPa     mm    DAY    JUN    INT    HR3    DAY    TOT -- -- ---------------------- TOT MID  MIN -------- TOP MID LOW                  GD     C     5    10    20    30 SEA    m --  -  -
202603021400  90   7  5.9   9 11.0 1326 1024.6 1026.8 -9  -9.0   3.5   1.6  88.0   6.9   -9.0   12.7   12.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    3 -         -9  -9  -9   559  0.0  0.18 -9   4.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400  93   5  2.9  -9 -9.0   -9 1011.2 1023.1 -9  -9.0   4.3   1.1  80.0   6.6   -9.0    3.2    3.2   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   8    7 StNs      -9   2   7  1200  0.0  0.50 -9   6.0   4.4   4.4   4.1   4.0  -9 -9.0 -9  4  1
202603021400  95  36  4.6  -9 -9.0   -9 1003.5 1022.9 -9  -9.0   2.9   2.1  95.0   7.1   -9.0    3.9    3.9   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    5 -         -9  -9  -9  1646  0.0  0.27 -9   4.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400  98   2  1.2  -9 -9.0   -9 1006.9 1021.3 -9  -9.0   4.0   2.8  92.0   7.5   -9.0   10.5   10.5   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    6 -         -9  -9  -9  1300  0.0  0.48 -9   6.9 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400  99   9  2.5  -9 -9.0   -9 1018.0 1021.8 -9  -9.0   3.5   2.1  91.0   7.1   -9.0    5.1    5.1   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    3 -         -9  -9  -9  1133  0.0  0.42 -9   6.4 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 100  -9 -9.0  -9 -9.0   -9  931.3 1025.2 -9  -9.0  -1.2  -1.3  99.0   5.6   -9.0   19.6   19.6   -9.0   -9.0   -9.0   12.1 -9 -9 -                       10  10   -9 -         -9  -9  -9    71  0.0  0.46 -9  -0.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 101   5  2.7  -9 -9.0   -9 1012.8 1022.3 -9  -9.0   4.4   1.4  81.0   6.8   -9.0    4.3    4.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    6 -         -9  -9  -9  1657  0.0  0.52 -9   5.6   3.1   1.5   0.8   0.1  -9 -9.0 -9  1 -9
202603021400 102   7  4.9   9 11.0 1310 1014.5 1019.0 -9  -9.0   3.0   1.5  90.0   6.8   -9.0    4.7    4.7   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   7    3 StNs      -9   2   7  2802  0.0  0.22 -9   3.3 -99.0 -99.0 -99.0 -99.0  -9  0.5 -9  4  1
202603021400 104   7  2.6  -9 -9.0   -9 1015.6 1025.0 -9  -9.0   3.4   2.8  96.0   7.5   -9.0    8.3    8.3   -9.0   -9.0   -9.0   -9.0 61 66 1901                    10  10    4 St        -9  -9   7   806  0.0  0.19 -9   5.5   5.3   5.4   5.6   5.6  -9 -9.0 -9  4  1
202603021400 105   7  2.5  -9 -9.0   -9 1022.8 1026.2 -9  -9.0   4.5   2.6  88.0   7.4   -9.0    9.2    9.2   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   8    4 -         -9  -9  -9   606  0.0  0.20 -9   5.1   4.7   4.9   4.7   5.2  -9 -9.0 -9  1 -9
202603021400 106   5  6.7   7 10.0 1357 1020.8 1025.9 -9  -9.0   4.9   3.3  90.0   7.7   -9.0    4.8    4.8   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    3 -         -9  -9  -9   519  0.0  0.22 -9   5.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 108   5  6.2   5 12.0 1310 1009.7 1020.3 -9  -9.0   5.0   3.3  89.0   7.7   -9.0    6.0    6.0   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   6    6 StNs      -9   2   7  2202  0.0  0.56 -9   7.7   5.6   4.4   4.6   4.6  -9 -9.0 -9  4  1
202603021400 112   9  6.0   9 11.0 1350 1011.0 1019.6 -9  -9.0   4.4   2.8  90.0   7.5   -9.0    6.5    6.5   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   5    4 StNs      -9   2   7  1885  0.0  0.45 -9   6.9   6.2   5.8   6.3   6.3  -9  0.5 -9  4  1
202603021400 114  34  1.1  -9 -9.0   -9 1002.6 1021.1 -9  -9.0   5.5   2.4  81.0   7.3   -9.0    1.3    1.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    2 -         -9  -9  -9  1355  0.0  0.27 -9   6.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 115   9  9.1   9 16.0 1313  997.2 1024.5 -9  -9.0   5.2   1.6  78.0   6.9   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   7    5 ScAs      -9   2   5  4016  0.0  0.31 -9   6.2   5.2   5.1   6.1   5.7  -9  2.0 -9  3  2
202603021400 119   9  3.4  -9 -9.0   -9 1014.8 1019.7 -9  -9.0   5.5   3.5  87.0   7.8   -9.0    5.8    5.8   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   6    4 StNs      -9   2   7  2152  0.0  0.44 -9   7.4   5.8   5.9   5.9   5.7  -9 -9.0 -9  4  1
202603021400 121   7  2.5  -9 -9.0   -9  992.6 1022.2 -9  -9.0   4.9   2.2  83.0   7.2   -9.0    0.6    0.6   -9.0   -9.0   -9.0   -9.0 -9 -9 -                        9   3    7 -         -9  -9  -9  1310  0.0  0.38 -9   8.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 127   7  4.3  -9 -9.0   -9 1006.1 1020.3 -9  -9.0   5.1   2.2  82.0   7.2   -9.0    6.4    6.4   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    8 -         -9  -9  -9   618  0.0  0.42 -9   7.3 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 129   7  6.5   7 11.0 1353 1014.4 1017.5 -9  -9.0   5.5   3.9  90.0   8.1   -9.0   10.0   10.0   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   9    4 -         -9  -9  -9  1280  0.0  0.37 -9   7.4   7.8   6.9   6.9   6.7  -9 -9.0 -9  1 -9
202603021400 130   5  4.7  -9 -9.0   -9 1018.6 1024.7 -9  -9.0   6.2   4.1  87.0   8.2   -9.0    2.9    2.9   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    5 -         -9  -9  -9   726  0.0 -9.00 -9   6.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 131   9  3.6  -9 -9.0   -9 1011.7 1018.9 -9  -9.0   6.6   2.0  73.0   7.1   -9.0    1.0    1.0   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   8    6 StNs      -9   2   7  2465  0.0  0.44 -9   8.1 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 133  11  3.0  -9 -9.0   -9 1010.1 1018.5 -9  -9.0   6.1   3.5  84.0   7.8   -9.0    6.3    6.3   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   9    6 StNs      -9   2   7  1693  0.0  0.46 -9   7.8   7.1   7.0   7.3   7.5  -9 -9.0 -9  4  1
202603021400 135   9  4.5  -9 -9.0   -9  990.4 1020.6 -9  -9.0   4.1   1.7  85.0   6.9   -9.0    9.7    9.7   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10    3 -         -9  -9  -9  1550  0.0  0.53 -9   6.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 136   9  2.3  -9 -9.0   -9 1005.4 1022.9 -9  -9.0   5.8   1.8  76.0   7.0   -9.0    2.4    2.4   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   8    6 StNs      -9   2   7  1779  0.0  0.32 -9   6.7 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
202603021400 137   7  1.4  -9 -9.0   -9 1008.7 1020.7 -9  -9.0   5.4   4.3  93.0   8.3   -9.0    8.9    8.9   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10   4    4 -         -9  -9  -9  1034  0.0  0.45 -9   8.8 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 138   7  8.0   5 13.0 1337 1021.2 1021.7 -9  -9.0   8.8   5.3  79.0   8.9   -9.0    0.2    0.2   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   9    7 StNs      -9   2   7  1721  0.0  0.30 -9   8.2   8.2   8.1   8.2   8.3  -9  1.0 -9  4  1
202603021400 140  36  5.5   2 12.0 1356 1012.3 1015.7 -9  -9.0   6.5   4.3  86.0   8.3   -9.0   10.3   10.3   -9.0   -9.0   -9.0   -9.0 -9 -9 -                       10  10   22 -         -9  -9  -9  1742  0.0 -9.00 -9   8.0 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  1 -9
202603021400 143  11  6.2  -9 -9.0   -9 1013.1 1019.8 -9  -9.0   7.2   4.6  84.0   8.5   -9.0    3.5    3.5   -9.0   -9.0   -9.0   -9.0 61 66 01                      10   8    7 StNs      -9   2   7  2365  0.0  0.80 -9   9.6 -99.0 -99.0 -99.0 -99.0  -9 -9.0 -9  4  1
