#START7777
#--------------------------------------------------------------------------------------------------
# STN_ID : 지점번호
#    LON : 경도(degree) / LAT : 위도(degree)
# STN_SP : 지점 특성코드
#          - 첫째자리 : 0(목측), 5(목측+레이저(L)), 6(레이저적설계(L))
#          - 둘째자리 : 0(기상관서), 1(외부)
#     HT : 노장 해발고도 (m)
# STN_CD : 지점코드
# STN_KO : 지점명(한글)
# STN_AD : 관리관서번호
# FCT_ID : 예보구역코드
# LAW_ID : 법정동코드
#--------------------------------------------------------------------------------------------------
# STN           LON           LAT STN_SP          HT STN STN_KO               FCT_ID   LAW_ID    
#  ID         degee        degree --------         m  AD -------------------- -------- ----------
   90  128.56472000   38.25085000 000          18.06  90 속초                 11D20401 4282033035
   95  127.30420000   38.14788000 000         153.70  95 철원                 11D10101 4278025624
   98  127.06069000   37.90186000 004         109.06  98 동두천               11B20401 4125010300
   99  126.76649000   37.88588000 004          29.42  99 파주                 11B20305 4148025025
  100  128.71833000   37.67713000 000         772.57 100 대관령               11D20201 4276038024
  101  127.73570000   37.90256000 000          76.47 101 춘천                 11D10301 4211011800
  102  124.63046000   37.96611000 000         144.86 102 백령도               11A00101 2872033024
  104  128.85535000   37.80456000 000          78.90 105 북강릉               11D20501 4215036027
  106  129.12433000   37.50708000 504          39.91 105 동해                 11D20601 4217010400
  108  126.96579000   37.57141000 000          85.80 108 기상청               11B10101 1111017800
  112  126.62490000   37.47770000 000          71.43 112 인천                 11B20201 2811013700
  114  127.94660000   37.33756000 504         148.64 114 원주                 11D10401 4213010600
  115  130.89864000   37.48129000 000         222.80 115 울릉도               11E00101 4794025024
  119  126.98530000   37.27230000 000          34.06 119 수원                 11B20601 4111313100
  121  128.45743000   37.18126000 504         240.60 121 영월                 11D10501 4275025022
  127  127.95266000   36.97038000 004         115.12 127 충주                 11C10101 4313012200
  129  126.49391000   36.77661000 000          28.91 177 서산                 11C20101 4421010600
  130  129.41278000   36.99176000 000          50.00 130 울진                 11H10101 4793025023
  131  127.44066000   36.63924000 000          57.16 131 청주                 11C10301 4311311400
  133  127.37212000   36.37200000 000          68.94 133 대전                 11C20401 3020012400
  135  127.99457000   36.22023000 004         246.00 135 추풍령               11C10401 4374033521
  136  128.70732000   36.57293000 000         140.10 136 안동                 11H10501 4717012900
  138  129.37963000   36.03259000 000           2.28 138 포항                 11H10201 4711110400
  140  126.76135000   36.00530000 000          23.20 140 군산                 21F10501 4513010300
  143  128.65220000   35.87820000 000          49.00 143 대구                 11H10701 2714010300
  146  127.15496000   35.82150000 000          53.40 146 전주                 11F10201 4511310600
  152  129.32026000   35.56014000 000          34.57 152 울산                 11H20101 3111010400
  155  128.57285000   35.17020000 000          37.15 155 창원                 11H20301 4812510100
  156  126.89158000   35.17294000 000          72.38 156 광주                 11F20501 2917010900
  159  129.03203000   35.10468000 000          69.56 159 부산                 11H20201 2611011600
  162  128.43560000   34.84546000 000          32.67 162 통영                 11H20401 4822010900
  165  126.38121000   34.81689000 000          38.00 165 목포                 21F20801 4611010300
  168  127.74064000   34.73929000 000          64.64 168 여수                 11F20401 4613010700
  169  125.45103000   34.68719000 000          76.49 169 흑산도               11F20701 4691036022
  170  126.70184000   34.39587000 504          35.24 165 완도                 11F20301 4689031022
  172  126.59900000   35.34895000 000          52.00 172 고창                 21F10601 4579038025
  174  127.36940000   35.02040000 000         165.00 156 순천                 11F20603 4615025025
  175  126.32379000   34.47212000 000         476.47 175 진도(첨찰산)         21F20201 4690033021
  184  126.52968000   33.51411000 000          20.45 184 제주                 11G00200 5011010700
  185  126.16283000   33.29382000 000          74.29 185 고산                 11G00500 5011031023
  188  126.88021000   33.38678000 000          17.75 188 성산                 11G00100 5013025927
  189  126.56534000   33.24613000 504          48.96 184 서귀포               11G00400 5013010100
  192  128.04002000   35.16379000 000          30.21 192 진주                 11H20701 4817012600
  203  127.48420000   37.26398000 000          78.01 203 이천                 11B20701 4150025328
